Date,Holiday Name,Holiday Flag,Weekly Holiday
01-08-2022,,0,0
02-08-2022,,0,0
03-08-2022,,0,0
04-08-2022,,0,0
05-08-2022,,0,0
06-08-2022,,0,0
07-08-2022,Friendship Day,1,1
08-08-2022,,0,0
09-08-2022,Muharram/Ashura,1,0
10-08-2022,,0,0
11-08-2022,Raksha Bandhan (Rakhi),1,0
12-08-2022,,0,0
13-08-2022,,0,0
14-08-2022,,0,1
15-08-2022,Independence Day,1,0
16-08-2022,Parsi New Year,1,0
17-08-2022,,0,0
18-08-2022,Janmashtami (Smarta),1,0
19-08-2022,Janmashtami,1,0
20-08-2022,,0,0
21-08-2022,,0,1
22-08-2022,,0,0
23-08-2022,,0,0
24-08-2022,,0,0
25-08-2022,,0,0
26-08-2022,,0,0
27-08-2022,,0,0
28-08-2022,,0,1
29-08-2022,,0,0
30-08-2022,,0,0
31-08-2022,Ganesh Chaturthi/Vinayaka Chaturthi,1,0
01-09-2022,,0,0
02-09-2022,,0,0
03-09-2022,,0,0
04-09-2022,,0,1
05-09-2022,,0,0
06-09-2022,,0,0
07-09-2022,,0,0
08-09-2022,Onam,1,0
09-09-2022,,0,0
10-09-2022,,0,0
11-09-2022,,0,1
12-09-2022,,0,0
13-09-2022,,0,0
14-09-2022,,0,0
15-09-2022,,0,0
16-09-2022,,0,0
17-09-2022,,0,0
18-09-2022,,0,1
19-09-2022,,0,0
20-09-2022,,0,0
21-09-2022,,0,0
22-09-2022,,0,0
23-09-2022,September Equinox,1,0
24-09-2022,,0,0
25-09-2022,,0,1
26-09-2022,First Day of Sharad Navratri,1,0
27-09-2022,,0,0
28-09-2022,,0,0
29-09-2022,,0,0
30-09-2022,,0,0
01-10-2022,First Day of Durga Puja Festivities,1,0
02-10-2022,Maha Saptami,1,1
03-10-2022,Maha Ashtami,1,0
04-10-2022,Maha Navami,1,0
05-10-2022,Dussehra,1,0
06-10-2022,,0,0
07-10-2022,,0,0
08-10-2022,,0,0
09-10-2022,Milad un-Nabi/Id-e-Milad,1,1
